article_id,content
4feb6edc6edcf1a17b9a97ed7d06b543,"The odour was like a ""wheelie bin left in the hot sun"". Sarah Waite had to close up her house and run the air conditioners to keep the place cool and stop the smell. ""It is a repulsive smell that you cannot get used to and it is difficult to persist with if you are outside,"" she said. Leonardo Monaco said the smell was so dire that it made him feel ""nauseous"" and it triggered headaches. ""If I had known about the unbreathable smell … I wouldn't have bought the house,"" he said. These are small sample of the more than 70 witness statements the Queensland government is using to try and stop a multi-million-dollar NuGrow garbage facility, south-west of Brisbane. against the Swanbank site, lodged on Friday by the Department of Environment and Science (DES) in the Planning and Environmental Court. If the application succeeds, DES will be able to limit certain aspects of NuGrow's operations, including receiving highly odorous waste that has ""a high potential to generate odour and impact the community"". Thousands of complaints have been made about a foul stench, often compared to cat urine and rotten eggs, coming from this industrial site. Infringement notices have been issued — but not about the smell. The department said it had gathered first-hand accounts from community members, detailing their experience of a noxious ""sweet fermented garbage"" smell coming from the site. ""Odour issues being experienced by the Ipswich community are unacceptable,"" a DES spokesperson said. ""This civil proceeding is the result of the department's enhanced compliance activities and meticulous investigation in the area, demonstrating our strong commitment to holding non-compliant operators to account."" Earlier this month, for breaching the Environmental Protection Act. Over the past five years, more than 25,000 complaints have been made to the state government about the odour across the Ipswich region. In 2018, the state government allocated $2.5 million to an Odour Abatement Taskforce to investigate the smell in response to community anger. In September this year, Queensland's Chief Health Officer John Gerrard said the region's air quality was ""below levels known to be associated with disease"" following growing calls for a public health inquiry. Others have called for a compensation scheme to be established for those seeking medical treatment in relation to the smell. ""When driving around our area, I am forced to keep the windows up on the car when the foul odour is present,"" Ms Waite, who lives in Flinders View, said in a statement provided to court. ""We experience the disgusting smell intermittently at my home a couple of times a week."" Locals claim the rotten egg-like smell is causing illnesses and ailments, including rashes, nausea, vomiting and migraines, with some needing hospital treatment. Kellie Bryan said the odour had a ""sweet tang"" that caused her to immediately start ""coughing and gagging and then vomiting"". She said the odour had increased in intensity in recent months and could last up to 12 hours at her Redbank Plains residence. ""The odour has absolutely affected me mentally and psychologically,"" she said. ""When the odour is at its worst stench, I instantly feel defeated, horribly sad, distressed, anxious."" George Baxter, who has lived at Flinders View for over 13 years, said he had stopped gardening due to the fumes. ""When we first moved here there was no bad odours … over the years, I have noticed that the smell is worse after it rains,"" he said. ""[It's a] combination of compost waste and dead animal."" NuGrow did not respond when asked for comment."
e446a843338a2975cfabb23f5f713060,"Biosecurity experts are warning an aggressive, invasive weed available for sale online for as little as $5 as an ornamental aquarium plant is spreading and causing concern for the state's waterways. Amazon frogbit can be purchased online from producers within Australia and is promoted as an aquarium feature plant, despite being listed as prohibited matter in New South Wales. Tim Low from the Invasive Species Council said the ""choking water weed"" could multiply quickly and grow over an entire body of water. ""It acts like a blanket over water, dominating everything and reduces oxygen for fish and aquatic animals,"" he said. ""The plant's horizontal growth pattern helps it grow fast."" Mr Low said it could cause very ""dramatic"" and ""serious"" changes to an aquatic system, with the council ""afraid"" of its continued spread. ""Online trade has made it difficult to regulate the sales of frogbit, so people buy it for ponds unaware it's illegal,"" he said. ""There is not enough investment in weed control in any jurisdiction in Australia; the number of ornamental plants that are being brought into cultivation is staggering and everyone is worried about the capacity of budgets to keep up."" The weed was regulated as prohibited matter in NSW in 2015, with possession, movement and sale of the plant made illegal under the Biosecurity Act. Its first known naturalised discovery was near Forster on the Mid North Coast in 2017 and since then it has spread to the Greater Sydney, Hunter, South East, North Coast, Northern Tablelands, Central Tablelands and Western regions. In September and October two new detections were found on the South Coast at Bomaderry and Corrimal. Alicia Kaylock, Local Land Services weeds coordinator for the South East, said the biggest issue with the weed's spread was a lack of awareness. ""These kinds of things are often sold online as floating pond plants and [people] want to grow it in their fish tank and they don't know they are doing the wrong thing,"" she said. ""Part of what we are trying to do with these infestations is educate the public that this is not a species you should have, and if you do have it at home, please contact your local council and they can help you dispose of it safely."" Tony Martin from the Illawarra District Weeds Authority said illegal dumping was the main cause for frogbit's spread. ""People dump the weeds thinking it's plant matter and it can spread through floods,"" Mr Martin said. He said the weeds needed to be monitored for years after they were found and treated. ""The seeds can last up to three years,"" he said. The Department of Primary Industries recommends residents use the for information on frogbit and its identification. Studies into how long the weed can survive in ocean waters are being undertaken at Western Sydney University. Frogbit has not been raised in the current invasive species management review."
c60229b6d82349661c2db13b63138c32,"Australia's climate change ambassador says the federal government cannot yet back the Pacific's call to rapidly phase out fossil fuels because it's grappling with ""complex"" and ""difficult"" issues thrown up by decarbonisation. Pacific Island countries have been pressing Australia to sign up to the ""Port Vila call"" for a Just and Equitable Transition to a Fossil Fuel Free Pacific, saying it's a crucial step to avoid catastrophic environmental damage from climate change. Earlier this month Pacific Island leaders agreed to ""transition away from coal, oil and gas"", but Australia and New Zealand succeeded in watering down some language in the final Pacific Islands Forum communique, which says only that leaders ""aspire"" to the Port Vila call. The final statement also says the leaders acknowledged that the pathway to the phase out ""is not immediate nor is it one-size fits all"". Climate change ambassador Kristin Tilley said while Australia ""absolutely"" backed several elements of the Port Vila call, there were ""some parts of it that we're not in a position to currently support"". ""It's not … that we're saying, 'No that's it, end of story, end of conversation,'"" she told the A Little Less Conversation climate podcast, which is produced by the Australian Council for International Development and the World Wildlife Fund. ""But these are complex, difficult issues around the urgent phase out of fossil fuels, and in particular, fossil fuel supply."" Australia remains one of the world's major fossil fuel producers, with a recent paper by the Climate Council finding it exports nearly three times as much fossil fuels as the United Arab Emirates, which is about to host the COP climate talks in Dubai this week. Ms Tilley said that while Australia was intent on rapidly accelerating the shift to renewables in its own economy, it could not simply cut off supplies of coal and gas to countries like Japan and South Korea without endangering their ""vitally important"" energy security. But she told the podcast that Australia's fossil fuel exports to those countries would inevitably fall as their governments shifted to renewable energy sources in line with their own net zero targets. ""The strongest levers that can accelerate that shift from switching the supply of fossil fuels that we send overseas to becoming renewable energies will be the decarbonisation pathways of the countries that import those fossil fuels, and that use them,"" she said. ""[And] while it requires actions by those countries that are importing or buying our fossil fuels, we are working with them … through our bilateral energy trade to both decarbonise the supply of our energy commodities to them, and [on] their own domestic decarbonisation."" The ambassador said Australia also needed to understand ""decarbonisation pathways"" in countries like Japan and South Korea to get ""clarity"" on how they would shift its own energy exports. But the ambassador's comments have been criticised by climate change advocates, including those behind the push for a fossil fuels phase out. ""The Australian government is using a drug dealers defence to try blame other countries for their approvals of new coal and gas projects — saying they'll keep exporting their product as long as there is a buyer,"" said the campaign director of the Fossil Fuel Non-Proliferation Treaty Initiative, Michael Poland. And Dr Wesley Morgan, senior researcher at the Climate Council said Australia could not avoid the hard realities of climate change. ""The science is unequivocal: any new fossil fuel project threatens our global climate target of limiting warming to 1.5°C,"" he said. ""Australia needs to stop adding fuel to the fire. That means stopping the approval of new coal, oil and gas projects, and getting behind a global commitment to the managed phaseout of fossil fuels."" It comes as Climate Change Minister Chris Bowen prepares to travel , where small island states are vowing to ramp up pressure on major emitters to keep key climate goals within grasp. Australia wants to co-host the 2026 COP meeting with Pacific Island nations, but is vying for the slot with Türkiye, which has also put up its hand for the event. However, the 2026 host is unlikely to be selected or announced in Dubai, in part because of a deadlock over which European country should host COP next year. Prime Minister Anthony Albanese has announced a new pact with the low-lying island country of Tuvalu, allowing residents facing displacement from climate change the ability to resettle in Australia. Ms Tilley said that Australia was still engaged in negotiations with a host of countries to see if it could lock down the event in 2026. ""This is quite interesting, because ministers say – well, what's the process to resolve this, and, indeed, there isn't a formal process,"" she said. ""We do have a competing country, so we are just working through the process on how we come to an agreeable outcome."" But she stressed that if Australia did win hosting rights, then the event would be held in ""genuine partnership"" with Pacific Island nations. ""Without question, we want this to … look and feel like a Pacific COP, so that international people who come say, 'Wow! I got the sense of Pacific perspectives that I didn't previously have,'"" she said."
7a16f47c4a2c9ad82329c19b9d1f9e7d,"Native title holders have voted to support the construction of a controversial toxic waste storage facility about 120km south of Alice Springs after 12 years of consultation. Developers Tellus Holdings said the Chandler Project would be the first underground salt mine and deep geological waste repository of its kind in Australia. The proposed facility will be built within a 500-million-year-old salt bed on Maryvale Station, 25 kilometres south-west of the remote Aboriginal community of Titjikala. The project has been given approval to receive up to 400,000 tonnes per annum of hazardous material over 25 years, from both Australia and ""strategic Pacific partners"" overseas. This would include low-level radioactive waste and naturally occurring radioactive materials. Tellus said the waste would be stored in an underground vault, about 850 metres below the surface, within the vast salt bed. ""The scale of this project is unlike anything else being built in the world, particularly how remote it is,"" chief executive Nate Smith said. ""The unique part about Chandler is the geology. It has an extremely deep, stable, thick bed of salt, which is perfect to create that scientific natural halt to make sure that waste is permanently isolated."" Last week, native title holders gathered to vote in favour of the project, with many hoping it would bring a much-needed economic boost to their communities. ""Some of the older people think it's dangerous. But I think it would be better to go ahead,"" native title holder Reggie Kenny said. ""The salt, nothing's going to come out of it once they put it in there."" Mr Smith said the low-level radioactive material would include medical waste, X-ray imaging and cancer treatment, as well as rare earths processing and water treatments. ""It's in hospital basements, it's sitting on the sides of curbs, it's sitting in on remediated mine sites,"" he said. ""The question is, does it continue to sit in places where it can harm waterways in the community? Or does it go to truly one of the safest places on the planet?"" While Tellus would not confirm a dollar figure, Mr Smith said the construction of Chandler would likely be up to ""10 times"" the cost of Sandy Ridge, an open-cut mine and hazardous waste storage site developed by Tellus in WA. He said this made it essential for the Chandler facility to accept waste from overseas, as there was ""no way"" the domestic market could support the cost. Despite widespread support, some native title holders, like Titjikala resident Elaine Shilling, were concerned the facility could impact local water sources. ""Not good, it's going to affect us, all of us,"" she said. ""We're just worried about water because we've got a lot of kids, a new generation. I don't know what's going to happen."" But Mr Smith claimed there was nothing to worry about, as the vault would sit about 500m beneath the lowest known aquifer. Tellus is also required to provide the EPA with an independent, peer-reviewed water management plan before any approval or decisions are made on the project. However, Australian Conservation Foundation nuclear analyst Dave Sweeney said the project had ""serious implications"" and required ""a high level of scrutiny and testing"". ""Low-level waste does not necessarily mean low-level risk,"" he said. ""Some low-level waste has short activity and danger periods but some requires isolation from people and the wider environment for 300 years."" Mr Sweeney said he was concerned about the ""potential for future project creep and the extension of materials deemed acceptable"" at any future facility after the Chandler Project. For more than a decade, the Central Land Council (CLC) has been facilitating consultation between Tellus and native title holders about the Chandler Project. CLC chief executive and Arrernte man Les Turner said the project was initially proposed solely as a salt mine but had gradually changed over the years. ""We commissioned independent advice on the radioactive waste component, and a lot of that's been provided to the native title holders ... and overall, the authorisation was provided,"" he said. As Maryvale Station is a pastoral lease, native title holders do not have veto rights, only the right to consultation. But Tellus claimed if native title holders had not given approval, the project would not have gone ahead. Mr Smith said, from here, Tellus would work to ""build trust"" with the broader Alice Springs community, and start approaching potential clients. He said, from there, construction could take up to five years and would aim to drive jobs in the NT for ""the next 100 years"". Many native title holders like Mr Kenny hoped the project would have lasting impacts for local Aboriginal communities. ""This mob here has given us the time to think and do everything. That's what we want and they want,"" he said. ""We want it to go ahead."""
49eefb865d2495e13f21f44c0089071a,"A Senate inquiry into the federal government's proposed changes to the Murray-Darling Basin Plan has supported the legislation but recommended amendments that boost the plan's transparency and accountability. Key points The bill extends the deadline for state-run projects that offset environmental water recovery from the basin's irrigators by using engineering works to deliver the same environmental outcomes, and allows more time to recover the additional 450 gigalitres of environmental water. It also gives the federal government more scope to purchase water directly from irrigators to meet the basin plan's water recovery targets. While the bill passed the lower house without amendments, the Senate Environment and Communications Committee report released this morning has recommended amendments that tighten the leash on how states manage the offset projects, and how the commonwealth will assist the communities it buys water from. The committee has also called for greater participation from First Nations groups living in the basin. The legislation, called the Water Amendment (Restoring Our Rivers) Bill, is due before the Senate by the end of the year, with the government requiring the support of either the Greens or Coalition senators to pass it. Under the current legislation, the $13 billion Murray-Darling Basin Plan requires its 2,750GL water recovery target met by the middle of next year, something the Murray-Darling Basin Authority and Productivity Commission warned was not possible. A part of that overall target, 605GL, was to be met through projects that deliver the same environmental outcomes as purchasing the water from irrigators. The projects were required to be completed by June 2024, however a number of them, equating to between 190GL and 315GL, are behind schedule or barely started. The federal government's legislation gives basin states until December 2026 to either finish the projects or come up with new projects. But the Senate committee's inquiry said the government should go further, demanding unviable projects be scrapped, and banning new projects from being added, something the Greens were calling for. ""Noting these significant risks, the committee is of the view that no new projects should be allowed to be proposed,"" the report says. The committee's report backs in the long-standing approach of the basin plan, to recover water toward the targets and see environmental benefits flow on from the river having more water. But a dissenting report from Coalition senators argues that enough water has already been recovered for the environment, and that greater environmental outcomes could be achieved by addressing individual problems like cold-water pollution downstream from dams, and installing more fish ladders across basin rivers. During a two-day hearing held last week, the committee heard evidence that previous voluntary sales of water from irrigators to the federal government had led to negative social and economic outcomes in basin communities. These included population decline, business downturn, school shutdowns and job losses in smaller regional irrigation communities. But the committee sided with submissions it received that said time to implement the plan was running out, and ""there was an urgent need to recover the agreed volumes of water for the environment"". While the inquiry report acknowledged water buybacks did affect communities, it ultimately supported the view that buybacks were a more cost-effective recovery tool than infrastructure projects. However the dissenting report from Coalition senators recommended keeping the existing 1,500GL cap on water buybacks, which has not been met, and excluding them as a tool for recovering the 450GL. Coalition senators also recommended keeping a socio-economic neutrality test on water recovery toward the 450GL, which requires governments to prove that the method they're using to recovery water has no negative impact on communities. The inquiry report differed in this view, by flipping the onus of proof onto to communities, recommending they demonstrate the extend to which water recovery has affected them in order to receive assistance funding from the federal government. Governments, legal experts, industry and environmental groups all called for more incorporation of First Nations values and interests in management of the basin's water resources. The report recommends including the principles set out in the United Nations Declaration on the Rights of Indigenous Peoples in the water act. The federal government has admitted it gave little notice to irrigation communities along the Murray River about information sessions this week on controversial water buybacks as part of the Murray-Darling Basin Plan. First Nations groups have been highly critical of the lengthy rollout delay of a $40 million funding package, announced in 2018, which was supposed to ""allow [Indigenous Australians] to economically participate in water and ensure that they get not only economic, but also cultural outcomes"". So far, none of that funding has been spent, and its purchasing power has been degraded by the rising cost of water rights. The Senate committee says the federal government should ""consider additional funding"" for the program."
12a2d8ffcaf8de6f7ecee5533469cef3,"Fire crews have spent a second night battling a large bushfire in Perth's north-east, with better conditions offering some respite for residents. The blaze began on Wednesday in the Gnangara Pine Plantation in the city's northern suburbs and quickly spread west, fanned by strong winds and extreme heat. Despite the best efforts of firefighters, . The majority of the destruction has been identified in the semi-rural suburb of Mariginiup, while residential areas in Tapping and Banksia Grove have also been hit. An emergency warning remains in place for parts of Jandabup, Melaleuca, Wanneroo and Mariginiup. Department of Fire and Emergency Services (DFES) incident controller Scott Hares said early on Friday morning the fire remained uncontrolled and uncontained. ""There's been favourable conditions overnight due to the lighter winds and high humidity, which means we've been able to reduce some of the warning areas,"" he said. ""But it's important that community members stay alert and go to Emergency WA to check where those boundaries are because conditions can change anytime."" After back-to-back days of temperatures touching 40 degrees Celsius, Perth experienced a cool change overnight as it fell to 19C just before 4am on Friday. The city is expected to reach a maximum of 35C, but of greater concern to authorities is an expected change of wind direction from north-east to south-west. ""[This morning] is critical to our effort,"" Mr Hares said. ""We're going to really work hard to consolidate containment lines in advance of that wind change."" With the evacuation centre at Quinns Rocks at capacity, authorities late yesterday opted to open the Bullsbrook COVID quarantine centre. Mr Hares said 19 people spent the night at the facility, while more were likely to be sent there as the fire remained a threat. In addition to the emergency warning, a watch and act alert stands for Sinagra, Ashby, Tapping and Banksia Grove. Mr Hares said it was likely other properties had been lost, but the extent of the damage was yet to be fully identified. ""We've completed about 80 per cent of our rapid damage assessments and we're going to recommence them at first light,"" he said. ""To those that have lost their homes, your loss is felt very firmly by us. We stand with you in these difficult and stressful times."" More than 100 firefighters continue to battle the blaze across a front that now stretches for more than 50 kilometres. With approximately 1,850 hectares of land lost, aerial bombers will resume their efforts to stop the spread of the blaze at first light. Hundreds of other staff and volunteers are assisting the community and residents at the two evacuation centres in Bullsbrook and Quinns Rock. Power has been disrupted across a wide area, with poles and wires brought down throughout the fire zone. Western Power said more than 100 poles had been damaged, with the number set to rise once a full assessment can be completed. : 35C : 22C-39C : 22C-39C : 23C-34C : 20C-29C : 18C-29C : 19C-33C Visit , call DFES on 133 337, follow DFES on or listen to to stay up to date."
9371190e40e547017482d72fd385bb9a,"Concerned observers say very little has changed in the seven months since tens of millions of fish suffocated to death along the Darling River, where dozens of Murray cod have been found dead in recent months. The New South Wales Chief Scientist released a summary and recommendations about this year's mass death event in a report released on September 29. The report outlined short-term measures focused on maintaining water quality to reduce the likelihood of a repeat of March's catastrophe. Australia Institute water researcher Kate McBride says the government needs to act urgently. ""We're sort of in this horrible cycle of dead fish at the moment,"" she said. ""A lot of the Menindee community and people within the Darling-Baaka … more broadly, are asking, 'What now?' ""We know what's going wrong and we know what needs to be done, but we're not seeing any action on the ground."" Geoff Looney, who has spent decades fishing and photographing wildlife in Menindee, is worried what the dead fish found since March could mean for the future. ""[It's] not very good at all,"" he said. ""These are the biggest fish in the river and hopefully they would be the strongest … but they still seem to die."" His concerns are shared by many in the community, including Graeme McCrabb. ""At the moment it just seems to be business as usual … or a 'she'll be right, mate'-type attitude, and clearly it's not right,"" he said. ""The lack of genuine intent by those agencies on the ground to ascertain what's killing those cod is causing distress among the community."" But Mr McCrabb believes the recent advertisement for a new senior water implementation officer based in either Broken Hill or Kinchega could be a positive sign. ""It's certainly a big step forward in trying to improve engagement in the Far West,"" he said. A recent NSW Fisheries survey found only two juvenile Murray cod in the 128-kilometre stretch of river from Menindee to Pooncarie. Ms McBride said she would like to see water agencies investigate the issue. ""The Murray cod population within our river [has] absolutely collapsed,"" she said. ""If that isn't cause to protect every living cod in the Menindee weir pool right now, I don't know what is."" In a statement, NSW Water Minister Rose Jackson said she supported all the recommendations made in the Chief Scientist's report and was working to implement them. ""This includes exploring the option of temporary fish passages, rolling out more water-quality monitoring and data collection, doing fish surveys to inform relocation and carp removal and investigating cutting-edge technology which can re-oxygenate water,"" she said. Ms Jackson is planning to meet with locals when she travels to Menindee later this week."
8b141c398e30f0f5efed36f81bd44815,"Sitting beneath a canopy of leaves and vines, Walbunja man Uncle Bunja Smith recalls seeing a baby goanna earlier that day. It brought him joy, not only because his own personal totem was a ""bumberung"" or a lizard, but because it was a sign of new life. His encounter was in the Biamanga Cultural Area, located between Bega and Narooma, which will finally reopen to the public tomorrow, nearly four years on from the Black Summer bushfires. ""To see a baby goanna filled me with hope,"" he said. ""It was as if the park was telling me, 'We're coming back'."" More than 85 per cent of the Biamanga National Park burnt in the 2019–20 bushfires, including the cultural area that features waters sacred to Yuin men. A planned reopening in September this year was pushed back due to repeated forecasts of high bushfire danger. There are calls for better education about Aboriginal cultural heritage sites after rock carvings dating back thousand of years were vandalised at separate sacred sites in NSW. Then the sparked on October 3 and spread to 7,295 hectares. Of that, the NSW National Parks and Wildlife Service (NPWS) said 5,468 hectares impacted the Biamanga National Park, Bermaguee Nature Reserve and Murrah Flora Reserve. The Biamanga Cultural Area wasn't directly affected in the Coolagolite bushfire, but the site remained closed until staff felt comfortable knowing the fire ground was fully under control. It has raised questions among the Biamanga National Park board of management about how to manage national parks. ""It causes me to pause and worry about the next bushfire,"" Uncle Bunja said. ""How can we bushfire proof our park?"" The NSW NPWS said reserves, or parts of reserves, may be closed to the public when the fire danger posed a risk to the safety of visitors. The Biamanga Cultural Area is significant for its Indigenous history. ""This is where the last stage of initiation would take place,"" Uncle Bunja said. ""It's where young boys would be given lore and become men."" Up until the 1950s, Indigenous boys would travel from an area on the coastline known as Bunga, and learn lore along the way. At each stop where they learned more lore, they would add more ochre to their skin. When the boys arrived at the final main pool at Biamanga, they would wash off the ochre and emerge from the sacred waters as men. ""They come up out of the pool, cleansed and anew,"" Uncle Bunja said. ""They're no longer boys, they're now men, they're lore carriers, lore givers; the warriors of the Yuin people."" The reopening of the Biamanga Cultural Area has been highly anticipated among local Indigenous people and visitors. The Biamanga Board of Management and the NSW National Parks and Wildlife Service have been rebuilding walking paths, toilets, signage, picnic areas and a car park at the cultural area of the past three years. The site was considered dangerous after the Black Summer fires due to the risk of falling trees, which delayed immediate repairs. There were also hurdles in obtaining insurance and finding contractors, and the previous La Niña event also made it difficult for works to be done in wet weather. But the staff involved in the restoration works were committed to ensuring the local Indigenous people were involved in the restoration works, right down to the finishing touches. ""It's been an extensive and long restoration process,"" NPWS Eurobodalla area manager Jo Issaverdis said. ""We've got these beautiful, handcrafted seats along the walking track … and local staff have been repainting the Aboriginal art that was originally engraved into them. ""They were actually liaising with the people that originally painted them to make sure they were doing it right."" Although the reopening will be celebrated, the public will be discouraged from swimming in the sacred waters. The site, formerly known as Mumbulla Falls, had been used as a swimming area since European settlement in the 1800s. Information signs have been erected along the main walk providing information on the sacred nature of the site and the reason why visitors shouldn't swim in the waters. Publishing images of the main ""initiation"" pool has also been discouraged. Uncle Bunja said the temporary loss of access to the site after the fires created a ""traumatic effect"" on the community, but the reopening was a reminder of how far the park had come. ""Watching the park burn absolutely floored me,"" Uncle Bunja said. ""It made me feel like something was taken from me and it's taken a while to get that back."""
855e1ffbf82ef2fb2bcefc8cd7a71cd7,"After a busy day battling fires across South Australia in hot and dry conditions yesterday, emergency crews are switching gears and preparing for significant rainfall. An initial flood watch has been issued for the Mount Lofty Ranges, Mid North and Eyre Peninsula. The Bureau of Meteorology said a band of rainfall was likely to bring 30-50 millimetres overnight and into Saturday over the Mount Lofty Ranges. The State Emergency Service's Darren Halleday said crews were preparing for significant rain on Sunday, particularly around the Eyre Peninsula, where falls of 60-100mm have been forecast. ""We're doing some pre-planning in regards to what that means across that patch, in particular with a lot of people travelling,"" he said on Friday evening. ""But we are expecting some significant rain."" The cool change came after . South Australians had been warned to prepare for due to a combination of dry lightning, high temperatures and strong winds. About 35,000 South Australians lost power yesterday due to a combination of weather-related outages and authorities disconnecting them under threatening fire conditions. The number of homes and businesses without power on Saturday morning was just over a thousand. SA Power Networks said it would restore connections when it was safe to do so, but warned that some people would still be without power this morning. Numerous Christmas events across the state have been cancelled due to this weekend's forecast, including carols at Gawler, Mitcham, Salisbury, Unley, and Burnside as well as the Christmas Market in Hahndorf. But the Carols by Candlelight in the city's Elder Park tonight will proceed. The Motorcycle Riders Association's annual toy run will be modified to a shorter ride around Victoria Park rather than riding to the Adelaide Hills."
3abfcffc70b9a8a5c0ffb31570a449f2,"One of Australia’s most important sovereign documents from the fight for Aboriginal land rights has been returned to the people of Arnhem Land, after going “missing” in the Kimberley for decades. There were four bark petitions created in the 1960s, all sent to Canberra in protest of mining One of the petitions eventually ended up in a home in the Kimberley, where it hung for decades The petition has now finally been repatriated to Yirrkala in north-east Arnhem Land The bark petitions were in the 1960s to protest the encroachment of bauxite mining onto their land on the Gove Peninsula without consultation. The documents were landmark in their combination of traditional Yolŋu bark art and typed petitions to show that the 13 clans of the peninsula had never ceded their land, despite the arrival of mining. On Thursday, the petition was finally returned to the people of Yirrkala, in the remote NT, and was danced to a position of prominence in famed Arnhem Land gallery, Buku-Larnŋgay Mulka. Daughter of the petition's sole surviving signatory, Yananymul Mununggurr, described it as a ""lost treasure"" and said its return was ""very, very important for this community and for my people"". ""It's important as it demonstrates the power that the Yolŋu people, our forefathers, had when they did the bark petitions,"" Ms Mununggurr said. ""It's important for all the people to come together and reconcile in unity, and also to think back, way back to the 1960s, about how our forefathers came together as one, with one mind, one voice. ""The good fight is not over, you know, we are still fighting."" The clan elders of the 1960s were left repeatedly disappointed, as in spite of their protests – both through the bark petitions and a battle in the courtroom – . The bark petition repatriated to Yirrkala on Thursday is one of four created in the 1960s, which were all sent to politicians in Canberra, including then-prime minister Robert Menzies. Ms Mununggurr said those petitions which remain in Canberra are ""something that can remind our government, the government of the day"" about the ongoing fight of the Yolŋu people. ""Governments come in and out, all the time, new people they come and go,"" she said. ""It's a reminder for politicians that there is a voice in there. ""The voice of our forefathers from east Arnhem Land, Yirrkala, telling them that we are here, the Yolŋu people are here, and it's what they said for the future."" No members of either the federal or NT government attended Thursday's repatriation ceremony. The return of the fourth bark petition to Yirrkala came about after a ""eureka moment"" by La Trobe University history professor Clare Wright, who had been researching a book about the petitions. ""I'd been writing this story and along the journey, I was able to locate this fourth petition, which has been missing to the Yolŋu people for 60 years,"" Professor Wright said. The petition had been gifted to the former secretary for the council of Aboriginal advancement, Stan Davey, and for many years it had hung on his wife's wall in the far north of Western Australia. ""As a gift to Stan for his commitment to the Yolŋu people, he was given one of these petitions, it hung on his wall, and then his wife's wall when they separated,"" she said. ""She took it around Australia … and eventually to the Kimberley, where she made her home. ""And that's where I found the petition, in the Kimberley, in Derby. ""She doesn't call it the missing bark petition, because she knew where it was all the time."" Rirratjiŋu clan elder Witiyana Marika said his family had been awaiting the return of the petition for decades and thought it had been forever lost to the world. ""It is a testament to the elders, their wisdom and insights into Yolŋu affairs, and we are very happy that one of the bark petitions has come back home,"" he said. Six decades on, the Yolŋu are continuing to fight against the arrival of mining onto their land without consultation through the courts, however, the Commonwealth is now challenging their claim. A rare hearing of the High Court in Darwin is into the matter."
